N,P,K,temperature,humidity,ph,rainfall,elevation,slope,aspect,water_holding_capacity,wind_speed,solar_radiation,soil_texture,ec,zn,label
83,0,18,18.61624318,53.50669249,3.23784569,259.2318584,1747.653421,11.18637042,South,18.05448081,21.17186727,540.550329,Clay,0.076579793,98.55770931,Soybeans
62,22,93,10.33171083,26.17227312,10.25354722,164.6387517,163.765837,59.69853937,East,1.375326116,49.87697069,401.6167583,Loamy,0.833193808,26.15196137,Corn
9,63,55,5.055777674,74.23419159,9.967835733,326.7282873,472.9776868,88.3014959,West,80.32225981,10.71352138,808.0512784,Sandy,0.956287141,97.32326628,Cotton
59,41,26,42.68028179,12.16295153,13.20832209,421.5873377,3676.731479,37.53184739,South,0.737538807,51.87213513,743.5940463,Loamy,0.49037659,56.04745043,Corn
66,2,10,-6.553443225,29.80057128,12.64179174,292.3850755,3533.155816,87.94171241,West,85.45678917,95.96009683,650.2147717,Silt,0.565203376,96.72790626,Barley
16,96,31,2.706492223,9.709264333,13.88205785,409.7895838,6.246593861,53.5474758,East,15.55522327,44.92072674,62.20232122,Sandy,0.205413061,19.62359269,Corn
0,65,6,42.16141954,66.37118295,8.923745098,304.3023018,231.0876081,73.84006575,West,33.83705997,98.92446739,939.3753451,Loamy,0.233813396,9.719459305,Soybeans
27,89,52,-9.12851905,6.418051529,3.271549383,479.2940264,3227.2821,64.4555341,West,75.87080641,52.76559414,129.457061,Sandy,0.346280406,34.11270459,Corn
89,60,88,20.15118219,0.518899518,1.822163234,53.3978974,4082.574927,39.08947439,North,66.24677618,66.46614958,394.3364784,Silt,0.54754562,61.23320304,Corn
85,46,46,6.514003855,6.983336877,7.992829382,317.6012723,2231.758617,19.79933821,West,6.981114868,95.52405573,261.7738799,Loamy,0.924782425,40.68373513,Soybeans
69,0,50,2.339585129,57.10847206,3.667164189,150.2991579,2740.281277,69.94537182,East,30.05618312,34.71867238,896.7155381,Clay,0.79024779,31.15112725,Corn
72,77,53,40.69482165,20.21569946,13.48341345,93.97479067,1976.744021,38.21644214,North,97.59809656,99.18457377,327.6519697,Clay,0.404450957,94.51968252,Barley
91,44,5,38.81882486,42.28325035,5.582448335,56.50213284,3787.440815,70.62160275,East,69.78872418,7.069452875,866.5266585,Clay,0.524317415,48.57170792,Potatoes
42,59,24,40.77097763,25.3674656,1.478416313,483.6819466,699.7825254,27.27010264,South,88.77139087,29.67600005,859.3530716,Silt,0.131904912,58.87656456,Potatoes
59,36,24,2.780428958,35.022364,7.271030659,36.12463311,3967.120402,68.21526712,North,81.22208332,85.22512828,959.3105928,Loamy,0.381444519,46.00930502,Wheat
71,57,41,27.59192459,21.45391792,8.776471285,447.6281258,1534.229685,16.00258795,North,4.343944038,28.36202818,918.6870187,Loamy,0.040094468,32.21348577,Cotton
92,97,53,20.28516639,64.50447986,10.97635356,22.29352486,489.5267641,17.19783036,South,63.8443611,40.74833895,377.0508012,Clay,0.24302662,12.85941722,Wheat
14,65,45,38.82239744,10.42030604,9.674267886,97.26021523,2196.391591,54.98990937,West,48.30365792,70.31003967,419.0213647,Silt,0.155396578,97.14232077,Rice
45,69,51,3.029186873,51.48795441,13.76968224,325.2227627,72.79104149,82.38430876,West,74.82418997,16.30440491,97.47154997,Silt,0.511575157,44.73872819,Wheat
85,29,84,-4.316809105,94.13179879,8.917225452,203.2237974,2957.13274,35.05761511,East,21.63678979,9.441818662,105.6369152,Loamy,0.152611104,10.20890981,Potatoes
15,78,36,12.8317356,15.73671386,9.626776983,148.2805487,1682.0275,11.79649815,North,49.47270546,14.65238963,895.7085332,Silt,0.178821661,36.38931839,Cotton
68,80,59,-5.015725565,75.87439483,0.557864229,125.5821742,1629.37462,68.88218776,South,17.50323838,47.79633692,311.1237024,Silt,0.743840469,18.34382325,Wheat
23,34,60,11.91220707,92.84930696,2.591824202,52.96868243,3705.768461,86.42959588,North,66.51058018,1.579418066,78.33533836,Sandy,0.424697683,23.27789589,Potatoes
53,76,50,17.18141143,21.39278076,1.630875251,287.3795486,3310.287155,85.70142669,East,95.15353898,11.95571693,202.9118818,Clay,0.072302588,94.88440775,Wheat
13,52,5,25.42596911,47.89250605,4.782204921,291.3895438,113.9606301,32.30192774,South,16.76108533,37.86460466,53.01697424,Loamy,0.393059171,72.77658944,Cotton
65,52,25,18.66538832,7.973320872,1.354777669,214.5419059,2359.400552,61.88404839,West,50.17554085,5.550131342,87.75753853,Sandy,0.763005544,27.36054827,Soybeans
23,79,42,12.60878826,65.96930346,3.220632276,429.2710255,1727.33654,47.07185559,East,33.02283407,52.89335606,355.8893143,Sandy,0.814657559,34.30240469,Cotton
69,80,86,19.4430241,11.94826024,6.607067251,82.1239259,2213.114018,56.77572722,West,62.29123631,50.35719537,581.6102988,Loamy,0.221798419,12.49471399,Corn
68,17,24,-2.78399066,45.76598146,1.321907035,226.3087222,4145.343529,4.135527001,West,22.72376926,18.30940097,915.6233374,Loamy,0.570179419,2.570391931,Wheat
2,6,41,-2.798927746,11.35560615,6.712840431,496.5523183,875.7907449,4.959002543,South,1.132765643,74.09827389,869.9340911,Sandy,0.116470931,17.37070297,Cotton
24,43,78,32.98859976,59.3370893,9.502110511,361.5216047,482.088145,29.78959695,South,62.23277249,31.4414175,599.1783248,Loamy,0.555171368,18.77532073,Wheat
28,39,98,23.93549465,72.27789166,10.94864457,122.9269601,4887.365799,76.88546021,West,23.73610712,2.911718311,905.9044915,Silt,0.421590141,3.014626385,Soybeans
94,89,31,26.95762622,43.71703719,10.51532899,166.2730685,4546.287901,74.18798127,South,67.15668749,13.56943037,739.7299868,Sandy,0.473682455,91.19937225,Corn
0,55,2,1.901958341,96.73888581,11.03063999,338.0258083,4889.657516,6.056421311,West,17.02155347,77.3399836,570.5640163,Silt,0.256909537,47.83982601,Corn
97,69,55,17.10785762,30.67833674,6.237361547,178.4996901,4498.530652,40.19989986,West,81.26424137,71.30661303,580.119459,Sandy,0.585306158,93.10109187,Soybeans
99,35,11,14.05757079,12.22534134,0.043079307,75.91142555,2358.853874,33.15430284,North,70.90628541,87.89790823,755.7486557,Clay,0.966162549,79.47643166,Corn
